# Matter power spectrum P(k) at redshift z=0
# for k=1.02348e-05 to 1.06754 h/Mpc,
# number of wavenumbers equal to 604
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.023476741005e-05       5.144247122131e+01 
       2.282307184403e-05       1.116200209281e+02 
       3.545371758693e-05       1.708742951666e+02 
       4.815915859003e-05       2.298559711880e+02 
       6.097236215919e-05       2.889542377554e+02 
       7.392708975808e-05       3.484716712156e+02 
       8.705818640988e-05       4.086730178195e+02 
       1.004018823869e-04       4.698055249552e+02 
       1.139961109059e-04       5.321088515231e+02 
       1.278808455792e-04       5.958211026841e+02 
       1.420984613830e-04       6.611826962618e+02 
       1.566941228706e-04       7.284390546983e+02 
       1.717162032323e-04       7.978426069962e+02 
       1.872167375379e-04       8.696543938517e+02 
       2.032519130135e-04       9.441446619246e+02 
       2.198825984079e-04       1.021593920020e+03 
       2.371749132644e-04       1.102292591080e+03 
       2.552008360715e-04       1.186540845543e+03 
       2.740388476095e-04       1.274647593781e+03 
       2.937746021003e-04       1.366928667901e+03 
       3.145016136955e-04       1.463704536807e+03 
       3.363219391036e-04       1.565296977013e+03 
       3.593468284197e-04       1.672025172586e+03 
       3.836973052424e-04       1.784200653231e+03 
       4.095046238268e-04       1.902121946070e+03 
       4.369105355510e-04       2.026068474252e+03 
       4.660672800949e-04       2.156294541063e+03 
       4.971371999800e-04       2.293023514313e+03 
       5.302918631013e-04       2.436443227287e+03 
       5.657105705597e-04       2.586702776154e+03 
       6.035781317626e-04       2.743911689406e+03 
       6.440818116868e-04       2.908141814323e+03 
       6.874074025628e-04       3.079431359011e+03 
       7.337344481773e-04       3.257790848672e+03 
       7.832307529192e-04       3.443210263350e+03 
       8.360464313979e-04       3.635663940939e+03 
       8.923078802798e-04       3.835113109816e+03 
       9.521121556890e-04       4.041503287773e+03 
       1.015522287133e-03       4.254756292565e+03 
       1.082564027613e-03       4.474757760309e+03 
       1.153224419774e-03       4.701303181219e+03 
       1.227452362666e-03       4.934190158478e+03 
       1.305161128076e-03       5.173118397443e+03 
       1.386232547917e-03       5.417703234726e+03 
       1.470522421185e-03       5.667482320692e+03 
       1.557866600677e-03       5.921927414041e+03 
       1.648087222196e-03       6.180458983470e+03 
       1.740998616351e-03       6.442462318360e+03 
       1.836412565920e-03       6.707306244900e+03 
       1.934142708352e-03       6.974359947462e+03 
       2.034008007838e-03       7.243004257994e+03 
       2.135835319183e-03       7.512648334722e+03 
       2.239461131356e-03       7.782732854847e+03 
       2.344732614254e-03       8.052739105880e+03 
       2.451508104097e-03       8.322188671291e+03 
       2.559657158315e-03       8.590647565568e+03 
       2.669060296645e-03       8.857724025631e+03 
       2.779608526482e-03       9.123067643015e+03 
       2.891202731109e-03       9.386363427747e+03 
       3.003752981313e-03       9.647343027608e+03 
       3.117177815202e-03       9.905758193615e+03 
       3.231403518121e-03       1.016140040419e+04 
       3.346363424388e-03       1.041408417762e+04 
       3.461997254743e-03       1.066365130279e+04 
       3.578250497632e-03       1.090996318555e+04 
       3.695073838296e-03       1.115290418715e+04 
       3.812422636697e-03       1.139237344574e+04 
       3.930256453396e-03       1.162828873335e+04 
       4.048538621213e-03       1.186058098051e+04 
       4.167235859803e-03       1.208919484661e+04 
       4.286317929839e-03       1.231408426871e+04 
       4.405757323437e-03       1.253521626034e+04 
       4.525528987409e-03       1.275256382587e+04 
       4.645610076140e-03       1.296611137929e+04 
       4.765979731014e-03       1.317584872892e+04 
       4.886618883597e-03       1.338177575430e+04 
       5.007510080010e-03       1.358388282293e+04 
       5.128637324151e-03       1.378219925510e+04 
       5.249985937684e-03       1.397671453090e+04 
       5.371542434926e-03       1.416745215712e+04 
       5.493294410956e-03       1.435443644005e+04 
       5.615230441456e-03       1.453766761590e+04 
       5.737339992987e-03       1.471717868595e+04 
       5.859613342516e-03       1.489299200549e+04 
       5.982041505163e-03       1.506513125252e+04 
       6.104616169273e-03       1.523363738751e+04 
       6.227329637985e-03       1.539853687417e+04 
       6.350174776601e-03       1.555985589478e+04 
       6.473144965111e-03       1.571762779670e+04 
       6.596234055340e-03       1.587188271889e+04 
       6.719436332193e-03       1.602264907784e+04 
       6.842746478588e-03       1.616996755467e+04 
       6.966159543681e-03       1.631386041123e+04 
       7.089670914035e-03       1.645438819860e+04 
       7.213276287440e-03       1.659157063480e+04 
       7.336971649104e-03       1.672544098864e+04 
       7.460753249986e-03       1.685605578372e+04 
       7.584617587044e-03       1.698340978862e+04 
       7.708561385219e-03       1.710758865003e+04 
       7.832581580985e-03       1.722858476848e+04 
       7.956675307301e-03       1.734645763951e+04 
       8.080839879851e-03       1.746123160168e+04 
       8.205072784429e-03       1.757294867714e+04 
       8.329371665377e-03       1.768164341424e+04 
       8.453734314970e-03       1.778734075125e+04 
       8.578158663665e-03       1.789007600286e+04 
       8.702642771136e-03       1.798990066981e+04 
       8.827184818017e-03       1.808684149717e+04 
       8.951783098304e-03       1.818092833203e+04 
       9.076436012345e-03       1.827219392724e+04 
       9.201142060372e-03       1.836068920855e+04 
       9.325899836531e-03       1.844640896220e+04 
       9.450708023365e-03       1.852942283407e+04 
       9.575565386710e-03       1.860976536528e+04 
       9.700470770975e-03       1.868745129076e+04 
       9.825423094767e-03       1.876250880806e+04 
       9.950421346842e-03       1.883499067411e+04 
       1.007546458235e-02       1.890490300910e+04 
       1.020055191935e-02       1.897228934799e+04 
       1.032568253557e-02       1.903718773380e+04 
       1.045085566543e-02       1.909962282560e+04 
       1.057607059720e-02       1.915961884937e+04 
       1.070132667048e-02       1.921721200857e+04 
       1.082662327371e-02       1.927242915909e+04 
       1.095195984202e-02       1.932528422611e+04 
       1.107733585505e-02       1.937585628701e+04 
       1.120275083508e-02       1.942413512093e+04 
       1.132820434520e-02       1.947013096633e+04 
       1.145369598763e-02       1.951393486767e+04 
       1.157922540215e-02       1.955551643915e+04 
       1.170479226467e-02       1.959494068202e+04 
       1.183039628584e-02       1.963217981462e+04 
       1.195603720984e-02       1.966732948052e+04 
       1.208171481314e-02       1.970040702928e+04 
       1.220742890349e-02       1.973141139251e+04 
       1.233317931883e-02       1.976034821402e+04 
       1.245896592641e-02       1.978730083556e+04 
       1.258478862190e-02       1.981226406725e+04 
       1.271064732855e-02       1.983525686486e+04 
       1.283654199650e-02       1.985630730900e+04 
       1.296247260202e-02       1.987547181274e+04 
       1.308843914693e-02       1.989273786850e+04 
       1.321444165796e-02       1.990814159300e+04 
       1.334048018624e-02       1.992174495999e+04 
       1.346655480679e-02       1.993349774942e+04 
       1.359266561804e-02       1.994349949654e+04 
       1.371881274147e-02       1.995173042678e+04 
       1.384499632116e-02       1.995824351719e+04 
       1.397121652349e-02       1.996301646327e+04 
       1.409747353684e-02       1.996614046651e+04 
       1.422376757125e-02       1.996759610099e+04 
       1.435009885825e-02       1.996737127721e+04 
       1.447646765060e-02       1.996556336376e+04 
       1.460287422211e-02       1.996213783541e+04 
       1.472931886747e-02       1.995711317275e+04 
       1.485580190212e-02       1.995058858086e+04 
       1.498232366217e-02       1.994252145247e+04 
       1.510888450425e-02       1.993294177656e+04 
       1.523548480552e-02       1.992185540477e+04 
       1.536212496355e-02       1.990935975630e+04 
       1.548880539638e-02       1.989538450331e+04 
       1.561552654246e-02       1.988002215276e+04 
       1.574228886072e-02       1.986321556636e+04 
       1.586909283057e-02       1.984504623698e+04 
       1.599593895198e-02       1.982552058812e+04 
       1.612282774560e-02       1.980468448830e+04 
       1.624975975276e-02       1.978252496225e+04 
       1.637673553571e-02       1.975906640209e+04 
       1.650375567766e-02       1.973432132567e+04 
       1.663082078296e-02       1.970835961384e+04 
       1.675793147730e-02       1.968113362047e+04 
       1.688508840787e-02       1.965270277831e+04 
       1.701229224357e-02       1.962307615654e+04 
       1.713954367521e-02       1.959228523833e+04 
       1.726684341579e-02       1.956033432343e+04 
       1.739419220072e-02       1.952726989416e+04 
       1.752159078810e-02       1.949305565737e+04 
       1.764903995903e-02       1.945774456418e+04 
       1.777654051787e-02       1.942139643293e+04 
       1.790409329258e-02       1.938396699192e+04 
       1.803169913508e-02       1.934548308986e+04 
       1.815935892157e-02       1.930599815051e+04 
       1.828707355292e-02       1.926548713739e+04 
       1.841484395503e-02       1.922400077150e+04 
       1.854267107929e-02       1.918155211980e+04 
       1.867055590294e-02       1.913817941937e+04 
       1.879849942952e-02       1.909383153411e+04 
       1.892650268938e-02       1.904859734090e+04 
       1.905456674006e-02       1.900246945433e+04 
       1.918269266689e-02       1.895543453096e+04 
       1.931088158340e-02       1.890755741899e+04 
       1.943913463193e-02       1.885885077199e+04 
       1.956745298410e-02       1.880928662557e+04 
       1.969583784145e-02       1.875895210686e+04 
       1.982429043599e-02       1.870780074203e+04 
       1.995281203080e-02       1.865585473896e+04 
       2.008140392070e-02       1.860316300639e+04 
       2.021006743283e-02       1.854973026337e+04 
       2.033880392739e-02       1.849558083149e+04 
       2.046761479828e-02       1.844071139989e+04 
       2.059650147386e-02       1.838513067735e+04 
       2.072546541765e-02       1.832888839390e+04 
       2.085450812912e-02       1.827199936161e+04 
       2.098363114444e-02       1.821441872696e+04 
       2.111283603734e-02       1.815624638244e+04 
       2.124212441992e-02       1.809743593956e+04 
       2.137149794349e-02       1.803799779718e+04 
