# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       9.069584935070e+13       9.188846604263e-26       5.109541234560e-09       1.774740571564e+22       1.294251882443e+04       1.427024380618e-10       1.173832737519e+18       2.950474783532e-09       1.861781544502e+44       1.183334565124e+33       1.355622999035e+34       3.236176255929e-08       1.287922551705e+44       3.149704096355e+44       8.382278517654e-07       1.023975439688e+01 
       9.006539160943e+13       9.317940710206e-26       5.145921022631e-09       1.750152676610e+22       1.294251882443e+04       1.437013551282e-10       1.165673026334e+18       2.971128107017e-09       1.810551317112e+44       1.158828422985e+33       1.327548867779e+34       3.236176255929e-08       1.252483074190e+44       3.063034391447e+44       8.981012697486e-07       9.557104103755e+00 
       8.943931639467e+13       9.448848459244e-26       5.182300810702e-09       1.725905431208e+22       1.294251882443e+04       1.447072646141e-10       1.157570036082e+18       2.991926003766e-09       1.760730780460e+44       1.134829788208e+33       1.300056134777e+34       3.236176255929e-08       1.218018776871e+44       2.978749557472e+44       9.579746877318e-07       8.959785097270e+00 
       8.881759324197e+13       9.581595331247e-26       5.218680598773e-09       1.701994115874e+22       1.294251882443e+04       1.457202154664e-10       1.149523372475e+18       3.012869485792e-09       1.712281144399e+44       1.111328150621e+33       1.273132759625e+34       3.236176255929e-08       1.184502825932e+44       2.896783970470e+44       1.017848105715e-06       8.432738915077e+00 
       8.820019189868e+13       9.716207164056e-26       5.255060386844e-09       1.678414076513e+22       1.294251882443e+04       1.467402569746e-10       1.141532643967e+18       3.033959572192e-09       1.665164686165e+44       1.088313217714e+33       1.246766951265e+34       3.236176255929e-08       1.151909125938e+44       2.817073812238e+44       1.077721523698e-06       7.964253419795e+00 
       8.758708232243e+13       9.852710158503e-26       5.291440174915e-09       1.655160723509e+22       1.294251882443e+04       1.477674387735e-10       1.133597461735e+18       3.055197289198e-09       1.619344721000e+44       1.065774910129e+33       1.220947162828e+34       3.236176255929e-08       1.120212299515e+44       2.739557020647e+44       1.137594941681e-06       7.545082187174e+00 
       8.697823467967e+13       9.991130883520e-26       5.329638952389e-09       1.632229530831e+22       1.294251882443e+04       1.488018108449e-10       1.125717439657e+18       3.076583670222e-09       1.574785573594e+44       1.043703357243e+33       1.195662086571e+34       3.236176255929e-08       1.089387667592e+44       2.664173241316e+44       1.197468359664e-06       7.167828077815e+00 
       8.637361934426e+13       1.013149628130e-25       5.366018740460e-09       1.609616035153e+22       1.294251882443e+04       1.498434235208e-10       1.117892194297e+18       3.098119755913e-09       1.531452550306e+44       1.022088892850e+33       1.170900648930e+34       3.236176255929e-08       1.059411230189e+44       2.590863780622e+44       1.257341777648e-06       6.826502931252e+00 
       8.577320689599e+13       1.027383367256e-25       5.404217517935e-09       1.587315834988e+22       1.294251882443e+04       1.508923274854e-10       1.110121344883e+18       3.119806594205e-09       1.489311912151e+44       1.000922050923e+33       1.146652005664e+34       3.236176255929e-08       1.030259647727e+44       2.519571560003e+44       1.317215195631e-06       6.516207343467e+00 
       8.517696811915e+13       1.041817076182e-25       5.440597306006e-09       1.565324589826e+22       1.294251882443e+04       1.519485737778e-10       1.102404513290e+18       3.141645240364e-09       1.448330848536e+44       9.801935614717e+32       1.122905537114e+34       3.236176255929e-08       1.001910222855e+44       2.450241071512e+44       1.377088613614e-06       6.232893980708e+00 
