# Matter power spectrum P(k) at redshift z=1
# for k=0.000782008 to 826.306 h/Mpc,
# number of wavenumbers equal to 521
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.820083848374e-04       1.682878489154e-05 
       6.176822371528e-03       1.228492102127e-04 
       1.871764651806e-02       3.566209774052e-04 
       3.155027742853e-02       5.884331868164e-04 
       4.440693395037e-02       8.157843228088e-04 
       5.727028818301e-02       1.039131880277e-03 
       7.013654944960e-02       1.258728295440e-03 
       8.300442891518e-02       1.474717855634e-03 
       9.587337329377e-02       1.687200227420e-03 
       1.087431082837e-01       1.896254372924e-03 
       1.216134842655e-01       2.101945660566e-03 
       1.344844141732e-01       2.304327994245e-03 
       1.473558451604e-01       2.503419626834e-03 
       1.602277444086e-01       2.699280579637e-03 
       1.731000914808e-01       2.891945593773e-03 
       1.859728739519e-01       3.081446496647e-03 
       1.988460847869e-01       3.267815046888e-03 
       2.117197207044e-01       3.451083126083e-03 
       2.245937811191e-01       3.631282854623e-03 
       2.374682674373e-01       3.808446575707e-03 
       2.503431825766e-01       3.982606705023e-03 
       2.632185306308e-01       4.153796562302e-03 
       2.760943166317e-01       4.322049787773e-03 
       2.889705463762e-01       4.487401265702e-03 
       3.018472263006e-01       4.649885847979e-03 
       3.147243633863e-01       4.809539302352e-03 
       3.276019650894e-01       4.966397404326e-03 
       3.404800392882e-01       5.120495567871e-03 
       3.533585942418e-01       5.271870184091e-03 
       3.662376385597e-01       5.420556187440e-03 
       3.791171811782e-01       5.566589259839e-03 
       3.919972313420e-01       5.710004556780e-03 
       4.048777985909e-01       5.850836544225e-03 
       4.177588927494e-01       5.989118961261e-03 
       4.306405239188e-01       6.124886645510e-03 
       4.435227024726e-01       6.258171151422e-03 
       4.564054390518e-01       6.389007171705e-03 
       4.692887445638e-01       6.517427247328e-03 
       4.821726301805e-01       6.643463520526e-03 
       4.950571073389e-01       6.767147253309e-03 
       5.079421877415e-01       6.888510941191e-03 
       5.208278833580e-01       7.007588380778e-03 
       5.337142064273e-01       7.124406206893e-03 
       5.466011694602e-01       7.238997382105e-03 
       5.594887852423e-01       7.351394557999e-03 
       5.723770668380e-01       7.461623979413e-03 
       5.852660275935e-01       7.569716970695e-03 
       5.981556811417e-01       7.675712808117e-03 
       6.110460414062e-01       7.779816755707e-03 
       6.239371226064e-01       7.881683359772e-03 
       6.368289392619e-01       7.981552226501e-03 
       6.497215061985e-01       8.079416613673e-03 
       6.626148385529e-01       8.175303168902e-03 
       6.755089517789e-01       8.269252819681e-03 
       6.884038616527e-01       8.361288132572e-03 
       7.012995842796e-01       8.451393888128e-03 
       7.141961360997e-01       8.539606196980e-03 
       7.270935338946e-01       8.626050785382e-03 
       7.399917947941e-01       8.710658334445e-03 
       7.528909362828e-01       8.793468748367e-03 
       7.657909762070e-01       8.874431364197e-03 
       7.786919327825e-01       8.953726929771e-03 
       7.915938246010e-01       9.031068476870e-03 
       8.044966706386e-01       9.106913887096e-03 
       8.174004902629e-01       9.181069517447e-03 
       8.303053032410e-01       9.253573143895e-03 
       8.432111297479e-01       9.324413575786e-03 
       8.561179903746e-01       9.393664102005e-03 
       8.690259061366e-01       9.461315725238e-03 
       8.819348984825e-01       9.527393119903e-03 
       8.948449893030e-01       9.591915707794e-03 
       9.077562009401e-01       9.654922512266e-03 
       9.206685561960e-01       9.716401732142e-03 
       9.335820783433e-01       9.776542798613e-03 
       9.464967911337e-01       9.834870743743e-03 
       9.594127188090e-01       9.891883993936e-03 
       9.723298861106e-01       9.947498512550e-03 
       9.852483182900e-01       1.000165928595e-02 
       9.981680411194e-01       1.005442120198e-02 
       1.011089080903e+00       1.010582532792e-02 
       1.024011464487e+00       1.015583314564e-02 
       1.036935219272e+00       1.020448855228e-02 
       1.049860373225e+00       1.025199864182e-02 
       1.062786954889e+00       1.029778301763e-02 
       1.075714993397e+00       1.034270043523e-02 
       1.088644518485e+00       1.038590351476e-02 
       1.101575560502e+00       1.042825319981e-02 
       1.114508150426e+00       1.046915327586e-02 
       1.127442319874e+00       1.050879411493e-02 
       1.140378101119e+00       1.054700841238e-02 
       1.153315527101e+00       1.058426625185e-02 
       1.166254631441e+00       1.062046367750e-02 
       1.179195448460e+00       1.065511253152e-02 
       1.192138013186e+00       1.068895796137e-02 
       1.205082361376e+00       1.072130948097e-02 
       1.218028529529e+00       1.075270269972e-02 
       1.230976554900e+00       1.078297984926e-02 
       1.243926475519e+00       1.081214241610e-02 
       1.256878330203e+00       1.084021222282e-02 
       1.269832158581e+00       1.086723653429e-02 
       1.282788001102e+00       1.089313746081e-02 
       1.295745899058e+00       1.091800795052e-02 
       1.308705894601e+00       1.094184491154e-02 
       1.321668030761e+00       1.096467777430e-02 
       1.334632351465e+00       1.098648571700e-02 
       1.347598901555e+00       1.100723607132e-02 
       1.360567726811e+00       1.102724552955e-02 
       1.373538873967e+00       1.104587791797e-02 
       1.386512390734e+00       1.106376726577e-02 
       1.399488325822e+00       1.108065540307e-02 
       1.412466728959e+00       1.109663849499e-02 
       1.425447650914e+00       1.111167385779e-02 
       1.438431143520e+00       1.112581447260e-02 
       1.451417259697e+00       1.113904744575e-02 
       1.464406053476e+00       1.115140663410e-02 
       1.477397580021e+00       1.116286412041e-02 
       1.490391895657e+00       1.117341563563e-02 
       1.503389057892e+00       1.118317442767e-02 
       1.516389125445e+00       1.119204544682e-02 
       1.529392158272e+00       1.120008669921e-02 
       1.542398217594e+00       1.120750081042e-02 
       1.555407365921e+00       1.121378690387e-02 
       1.568419667085e+00       1.121940832710e-02 
       1.581435186267e+00       1.122440199982e-02 
       1.594453990027e+00       1.122827385607e-02 
       1.607476146334e+00       1.123156076382e-02 
       1.620501724596e+00       1.123423236416e-02 
       1.633530795696e+00       1.123582836333e-02 
       1.646563432020e+00       1.123686702619e-02 
       1.659599707494e+00       1.123716372090e-02 
       1.672639697616e+00       1.123693800143e-02 
       1.685683479493e+00       1.123581569517e-02 
       1.698731131874e+00       1.123383941195e-02 
       1.711782735190e+00       1.123148498127e-02 
       1.724838371590e+00       1.122816346477e-02 
       1.737898124980e+00       1.122447812387e-02 
       1.750962081064e+00       1.121989703502e-02 
       1.764030327382e+00       1.121467750531e-02 
       1.777102953353e+00       1.120890902327e-02 
