# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       1.000000000000e+14       7.558503632224e-26       4.634785000235e-09       2.157545946648e+22       1.419428713700e+04       1.419428713700e-10       1.419428713700e+18       2.675958164815e-09       2.751560535470e+44       2.472308424551e+33       1.331842117096e+34       3.461474050621e-08       1.903443976270e+44       4.655004511898e+44       5.550295043151e-20       2.000000000000e+14 
       9.930486593843e+13       7.664693049753e-26       4.667526809499e-09       2.127654528182e+22       1.419428713700e+04       1.429364714696e-10       1.409561781232e+18       2.694689871968e-09       2.675846458098e+44       2.421108414470e+33       1.304260473502e+34       3.461474050621e-08       1.851067333040e+44       4.526913791293e+44       7.743342868849e-08       1.433565615564e+02 
       9.861456399050e+13       7.772374322409e-26       4.700268618762e-09       2.098177236191e+22       1.419428713700e+04       1.439370267699e-10       1.399763437171e+18       2.713552701072e-09       2.602215788102e+44       2.370968725588e+33       1.277250029041e+34       3.461474050621e-08       1.800131926217e+44       4.402347714470e+44       1.548668573769e-07       7.167828077820e+01 
       9.792906056653e+13       7.881568409265e-26       4.733010428026e-09       2.069108333218e+22       1.419428713700e+04       1.449445859573e-10       1.390033204738e+18       2.732547569980e-09       2.530611196824e+44       2.321867399294e+33       1.250798954525e+34       3.461474050621e-08       1.750598097619e+44       4.281209294592e+44       2.323002860653e-07       4.778552051880e+01 
       9.724832231036e+13       7.992296563847e-26       4.765752237290e-09       2.040442161294e+22       1.419428713700e+04       1.459591980590e-10       1.380370610465e+18       2.751675402969e-09       2.460976933110e+44       2.273782931730e+33       1.224895665743e+34       3.461474050621e-08       1.702427280332e+44       4.163404213586e+44       3.097337147537e-07       3.583914038910e+01 
       9.657231609767e+13       8.104580338272e-26       4.800313035958e-09       2.012173140839e+22       1.419428713700e+04       1.469809124454e-10       1.370775184176e+18       2.770937130790e-09       2.393258779894e+44       2.226694264365e+33       1.199528818382e+34       3.461474050621e-08       1.655581968676e+44       4.048840748713e+44       3.871671434421e-07       2.867131231128e+01 
       9.590100903443e+13       8.218441587444e-26       4.833054845221e-09       1.984295769572e+22       1.419428713700e+04       1.480097788325e-10       1.361246458963e+18       2.790333690706e-09       2.327404011992e+44       2.180580774781e+33       1.174687303066e+34       3.461474050621e-08       1.610025689010e+44       3.937429701142e+44       4.646005721305e-07       2.389276025940e+01 
       9.523436845525e+13       8.333902473306e-26       4.867615643889e-09       1.956804621446e+22       1.419428713700e+04       1.490458472844e-10       1.351783971165e+18       2.809866026540e-09       2.263361355047e+44       2.135422267638e+33       1.150360240487e+34       3.461474050621e-08       1.565722971329e+44       3.829084326512e+44       5.420340008189e-07       2.047950879377e+01 
       9.457236192179e+13       8.450985469154e-26       4.900357453153e-09       1.929694345585e+22       1.419428713700e+04       1.500891682153e-10       1.342387260343e+18       2.829535088726e-09       2.201080945604e+44       2.091198965826e+33       1.126536976640e+34       3.461474050621e-08       1.522639321645e+44       3.723720267382e+44       6.194674295073e-07       1.791957019455e+01 
       9.391495722125e+13       8.569713364010e-26       4.934918251820e-09       1.902959665248e+22       1.419428713700e+04       1.511397923929e-10       1.333055869258e+18       2.849341834347e-09       2.140514292293e+44       2.047891501811e+33       1.103207078158e+34       3.461474050621e-08       1.480741195137e+44       3.621255487561e+44       6.969008581957e-07       1.592850683960e+01 
       9.326212236469e+13       8.690109267061e-26       4.969479050487e-09       1.876595376800e+22       1.419428713700e+04       1.521977709396e-10       1.323789343851e+18       2.869287227187e-09       2.081614238068e+44       2.005480909145e+33       1.080360327744e+34       3.461474050621e-08       1.439995970030e+44       3.521610208226e+44       7.743342868840e-07       1.433565615564e+01 
       9.261382558559e+13       8.812196612153e-26       5.004039849155e-09       1.850596348697e+22       1.419428713700e+04       1.532631553362e-10       1.314587233218e+18       2.889372237778e-09       2.024334923495e+44       1.963948614167e+33       1.057986719693e+34       3.461474050621e-08       1.400371922191e+44       3.424706845811e+44       8.517677155724e-07       1.303241468694e+01 
       9.197003533823e+13       8.935999162357e-26       5.040419637226e-09       1.824957520492e+22       1.419428713700e+04       1.543359974235e-10       1.305449089591e+18       2.909597843442e-09       1.968631751041e+44       1.923276427863e+33       1.036076455514e+34       3.461474050621e-08       1.361838200436e+44       3.330469951600e+44       9.292011442607e-07       1.194638012970e+01 
       9.133072029615e+13       9.061541014589e-26       5.074980435893e-09       1.799673901845e+22       1.419428713700e+04       1.554163494055e-10       1.296374468313e+18       2.929965028346e-09       1.914461350357e+44       1.883446537904e+33       1.014619939636e+34       3.461474050621e-08       1.324364802505e+44       3.238826152982e+44       1.006634572949e-06       1.102742781203e+01 
       9.069584935070e+13       9.188846604303e-26       5.109541234560e-09       1.774740571556e+22       1.419428713700e+04       1.565042638513e-10       1.287362927818e+18       2.950474783544e-09       1.861781544502e+44       1.844441500842e+33       9.936077752061e+33       3.461474050621e-08       1.287922551705e+44       3.149704096325e+44       1.084068001637e-06       1.023975439688e+01 
       9.006539160943e+13       9.317940710247e-26       5.145921022631e-09       1.750152676602e+22       1.419428713700e+04       1.575997936983e-10       1.278414029611e+18       2.971128107029e-09       1.810551317112e+44       1.806244234474e+33       9.730307599754e+33       3.461474050621e-08       1.252483074190e+44       3.063034391418e+44       1.161501430326e-06       9.557104103757e+00 
       8.943931639467e+13       9.448848459285e-26       5.182300810702e-09       1.725905431199e+22       1.419428713700e+04       1.587029922542e-10       1.269527338243e+18       2.991926003778e-09       1.760730780460e+44       1.768838010357e+33       9.528798822673e+33       3.461474050621e-08       1.218018776871e+44       2.978749557444e+44       1.238934859014e-06       8.959785097272e+00 
       8.881759324197e+13       9.581595331289e-26       5.218680598773e-09       1.701994115866e+22       1.419428713700e+04       1.598139132000e-10       1.260702421294e+18       3.012869485804e-09       1.712281144399e+44       1.732206446487e+33       9.331463170318e+33       3.461474050621e-08       1.184502825932e+44       2.896783970442e+44       1.316368287702e-06       8.432738915079e+00 
       8.820019189868e+13       9.716207164098e-26       5.255060386844e-09       1.678414076505e+22       1.419428713700e+04       1.609326105924e-10       1.251938849349e+18       3.033959572205e-09       1.665164686165e+44       1.696333500117e+33       9.138214219804e+33       3.461474050621e-08       1.151909125938e+44       2.817073812211e+44       1.393801716391e-06       7.964253419797e+00 
       8.758708232243e+13       9.852710158546e-26       5.291440174915e-09       1.655160723501e+22       1.419428713700e+04       1.620591388665e-10       1.243236195977e+18       3.055197289210e-09       1.619344721000e+44       1.661203460740e+33       8.948967338012e+33       3.461474050621e-08       1.120212299515e+44       2.739557020621e+44       1.471235145079e-06       7.545082187175e+00 
       8.697823467967e+13       9.991130883563e-26       5.329638952389e-09       1.632229530823e+22       1.419428713700e+04       1.631935528386e-10       1.234594037713e+18       3.076583670235e-09       1.574785573594e+44       1.626800943202e+33       8.763639644521e+33       3.461474050621e-08       1.089387667592e+44       2.664173241290e+44       1.548668573767e-06       7.167828077816e+00 
       8.637361934426e+13       1.013149628135e-25       5.366018740460e-09       1.609616035145e+22       1.419428713700e+04       1.643359077084e-10       1.226011954035e+18       3.098119755926e-09       1.531452550306e+44       1.593110880965e+33       8.582149975315e+33       3.461474050621e-08       1.059411230189e+44       2.590863780597e+44       1.626102002455e-06       6.826502931254e+00 
       8.577320689599e+13       1.027383367260e-25       5.404217517935e-09       1.587315834980e+22       1.419428713700e+04       1.654862590624e-10       1.217489527343e+18       3.119806594218e-09       1.489311912151e+44       1.560118519512e+33       8.404418847237e+33       3.461474050621e-08       1.030259647727e+44       2.519571559978e+44       1.703535431144e-06       6.516207343469e+00 
       8.517696811915e+13       1.041817076187e-25       5.440597306006e-09       1.565324589818e+22       1.419428713700e+04       1.666446628758e-10       1.209026342943e+18       3.141645240377e-09       1.448330848536e+44       1.527809409883e+33       8.230368423176e+33       3.461474050621e-08       1.001910222855e+44       2.450241071488e+44       1.780968859832e-06       6.232893980709e+00 
       8.458487400115e+13       1.056453564290e-25       5.478796083480e-09       1.543638019285e+22       1.419428713700e+04       1.678111755160e-10       1.200621989019e+18       3.163636757059e-09       1.408477451704e+44       1.496169402345e+33       8.059922477980e+33       3.461474050621e-08       9.743408827823e+43       2.382818334582e+44       1.858402288520e-06       5.973190064846e+00 
       8.399689573103e+13       1.071295680415e-25       5.518813850358e-09       1.522251902310e+22       1.419428713700e+04       1.689858537446e-10       1.192276056623e+18       3.185782214359e-09       1.369720691902e+44       1.465184640201e+33       7.893006365077e+33       3.461474050621e-08       9.475301620897e+43       2.317250854085e+44       1.935835717209e-06       5.734262462252e+00 
       8.341300469814e+13       1.086346313429e-25       5.557012627833e-09       1.501162076300e+22       1.419428713700e+04       1.701687547208e-10       1.183988139646e+18       3.208082689859e-09       1.332030393213e+44       1.434841553714e+33       7.729546983776e+33       3.461474050621e-08       9.214571860169e+43       2.253487579321e+44       2.013269145897e-06       5.513713906012e+00 
       8.283317249071e+13       1.101608392786e-25       5.595211405307e-09       1.480364436334e+22       1.419428713700e+04       1.713599360038e-10       1.175757834802e+18       3.230539268688e-09       1.295377210063e+44       1.405126854170e+33       7.569472747261e+33       3.461474050621e-08       8.961016542097e+43       2.191478864363e+44       2.090702574585e-06       5.309502279863e+00 
       8.225737089444e+13       1.117084889096e-25       5.635229172185e-09       1.459854934361e+22       1.419428713700e+04       1.725594555559e-10       1.167584741611e+18       3.253153043569e-09       1.259732604377e+44       1.376027528057e+33       7.412713551232e+33       3.461474050621e-08       8.714438249143e+43       2.131176429379e+44       2.168136003273e-06       5.119877198439e+00 
       8.168557189121e+13       1.132778814703e-25       5.673427949660e-09       1.439629578415e+22       1.419428713700e+04       1.737673717448e-10       1.159468462374e+18       3.275925114873e-09       1.225068823353e+44       1.347530831363e+33       7.259200743210e+33       3.461474050621e-08       8.474644996064e+43       2.072533323046e+44       2.245569431962e-06       4.943329708838e+00 
       8.111774765760e+13       1.148693224271e-25       5.713445716538e-09       1.419684431832e+22       1.419428713700e+04       1.749837433470e-10       1.151408602159e+18       3.298856590677e-09       1.191358877859e+44       1.319624283998e+33       7.108867092464e+33       3.461474050621e-08       8.241450080431e+43       2.015503885986e+44       2.323002860650e-06       4.778552051877e+00 
       8.055387056366e+13       1.164831215379e-25       5.753463483416e-09       1.400015612492e+22       1.419428713700e+04       1.762086295504e-10       1.143404768777e+18       3.321948586812e-09       1.158576521413e+44       1.292295664327e+33       6.961646760573e+33       3.461474050621e-08       8.014671937265e+43       1.960043715222e+44       2.400436289338e-06       4.624405211493e+00 
       7.999391317146e+13       1.181195929124e-25       5.793481250294e-09       1.380619292058e+22       1.419428713700e+04       1.774420899572e-10       1.135456572768e+18       3.345202226920e-09       1.126696229756e+44       1.265533003817e+33       6.817475272590e+33       3.461474050621e-08       7.794133997669e+43       1.906109629604e+44       2.477869718026e-06       4.479892548634e+00 
       7.943784823382e+13       1.197790550732e-25       5.835318006575e-09       1.361491695232e+22       1.419428713700e+04       1.786841845869e-10       1.127563627376e+18       3.368618642508e-09       1.095693180972e+44       1.239324581798e+33       6.676289488803e+33       3.461474050621e-08       7.579664551354e+43       1.853659636186e+44       2.555303146714e-06       4.344138228979e+00 
