# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   41       1.139946470360e+03       6.261984494939e-02       8.472915287001e-04       2.048670129203e+00       1.811654461305e-07       5.464750012262e-04      -2.174465058567e-06 
   42       1.154142132202e+03       6.774737345594e-02       8.891192887083e-04       1.989214181642e+00       1.809708401659e-07       5.366291569179e-04      -2.013970126934e-06 
   43       1.168402670809e+03       7.313551921191e-02       9.319848038457e-04       1.917852099638e+00       1.807504276077e-07       5.274294166729e-04      -1.776042062381e-06 
   44       1.182797002732e+03       7.880721278495e-02       9.758903399197e-04       1.835527292287e+00       1.804947286535e-07       5.184920374505e-04      -1.507626382199e-06 
   45       1.197375397619e+03       8.478354625038e-02       1.020837864477e-03       1.743183427354e+00       1.801684316603e-07       5.093758921559e-04      -1.260087933219e-06 
   46       1.212150647204e+03       9.106738260632e-02       1.066828075373e-03       1.640937385584e+00       1.798020082592e-07       5.001434708003e-04      -1.052801507002e-06 
   47       1.227108374178e+03       9.765514135370e-02       1.113861076841e-03       1.528682044275e+00       1.794310656251e-07       4.909957960677e-04      -8.963314644531e-07 
   48       1.242209704600e+03       1.045412001752e-01       1.161936623830e-03       1.406314356988e+00       1.790655812741e-07       4.821209660089e-04      -8.018358158243e-07 
   49       1.257389273597e+03       1.117177842302e-01       1.211054102472e-03       1.273734447575e+00       1.786821039175e-07       4.736888346222e-04      -7.810391123067e-07 
   50       1.272580169011e+03       1.191771456686e-01       1.261212476549e-03       1.130778981028e+00       1.782389613907e-07       4.658294348929e-04      -8.416906090252e-07 
   51       1.287801371122e+03       1.269190564504e-01       1.312410155005e-03       9.770020565852e-01       1.777538822415e-07       4.585714893639e-04      -9.718090643440e-07 
   52       1.303090600167e+03       1.349451580069e-01       1.364645054727e-03       8.118332744978e-01       1.772523419667e-07       4.518693606302e-04      -1.149061185187e-06 
   53       1.318478743398e+03       1.432568459212e-01       1.417914610803e-03       6.346343571496e-01       1.767431023655e-07       4.456082029352e-04      -1.344056134706e-06 
   54       1.333989128442e+03       1.518552669980e-01       1.472215755406e-03       4.446951502236e-01       1.762136124827e-07       4.395945862205e-04      -1.519615214141e-06 
   55       1.349638771570e+03       1.607410237723e-01       1.527545320403e-03       2.413789576301e-01       1.756406877198e-07       4.336168349437e-04      -1.639225450031e-06 
   56       1.365444150292e+03       1.699132087875e-01       1.583901410709e-03       2.460998650922e-02       1.750415075931e-07       4.276760898936e-04      -1.697945613004e-06 
   57       1.381415592034e+03       1.793701252793e-01       1.641282335106e-03      -2.055000102406e-01       1.744384123277e-07       4.218230913209e-04      -1.701545572695e-06 
   58       1.397554789318e+03       1.891095447008e-01       1.699686207895e-03      -4.487886786331e-01       1.738427300493e-07       4.160928186874e-04      -1.658526295521e-06 
   59       1.413854150075e+03       1.991286923949e-01       1.759110944273e-03      -7.050412442298e-01       1.732519408871e-07       4.105018283413e-04      -1.580402009728e-06 
