# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       8.697823467967e+13       9.991490753894e-26       5.329638952389e-09       1.632170741700e+22       1.420669139224e+04       1.633361661634e-10       1.235672937936e+18       3.076694485636e-09       1.575941485518e+44       1.639466855136e+33       8.708729621685e+33      -4.994075994616e-12      3.586509253832e-171      -5.160100000000e+00       1.088039844439e+44       2.663981330060e+44       1.549030265555e-06       7.167828077817e+00 
       8.637361934426e+13       1.013186120749e-25       5.366018740460e-09       1.609558060508e+22       1.420669139224e+04       1.644795193265e-10       1.227083354455e+18       3.098231347036e-09       1.532576655259e+44       1.605514489534e+33       8.528377105796e+33      -4.994075994616e-12      3.912736998879e-171      -5.160100000000e+00       1.058100494785e+44       2.590677150145e+44       1.626481778833e-06       6.826502931254e+00 
       8.577320689599e+13       1.027420372560e-25       5.404217517935e-09       1.587258663544e+22       1.420669139224e+04       1.656308759618e-10       1.218553480094e+18       3.119918966465e-09       1.490405085360e+44       1.572265256860e+33       8.351759581277e+33      -4.994075994616e-12      4.268638316222e-171      -5.160100000000e+00       1.028984979536e+44       2.519390064995e+44       1.703933292111e-06       6.516207343469e+00 
       8.517696811915e+13       1.041854601374e-25       5.442416295409e-09       1.565268210455e+22       1.420669139224e+04       1.667902920936e-10       1.210082899795e+18       3.141758399230e-09       1.449393941140e+44       1.539704595657e+33       8.178799698720e+33      -4.994075994616e-12      4.656912304594e-171      -5.160100000000e+00       1.000670629424e+44       2.450064570662e+44       1.781384805388e-06       6.232893980709e+00 
       8.458487400115e+13       1.056491616669e-25       5.480615072884e-09       1.543582421023e+22       1.420669139224e+04       1.679578241382e-10       1.201671201386e+18       3.163750708024e-09       1.409511291427e+44       1.507818246027e+33       8.009421710574e+33      -4.994075994616e-12      5.080503571891e-171      -5.160100000000e+00       9.731353989678e+43       2.382646690490e+44       1.858836318666e-06       5.973190064846e+00 
       8.399689573103e+13       1.071334267391e-25       5.518813850358e-09       1.522197074326e+22       1.420669139224e+04       1.691335289072e-10       1.193317975557e+18       3.185896962980e-09       1.370726083688e+44       1.476592243385e+33       7.843551437977e+33      -4.994075994616e-12      5.542624566612e-171      -5.160100000000e+00       9.463578493044e+43       2.317083933085e+44       1.936287831944e-06       5.734262462252e+00 
       8.341300469814e+13       1.086385442514e-25       5.557012627833e-09       1.501108007923e+22       1.420669139224e+04       1.703174636095e-10       1.185022815846e+18       3.208198241721e-09       1.333008119857e+44       1.446012912345e+33       7.681116238264e+33      -4.994075994616e-12      6.046779940551e-171      -5.160100000000e+00       9.203171315009e+43       2.253325251449e+44       2.013739345221e-06       5.513713906012e+00 
       8.283317249071e+13       1.101648071595e-25       5.595211405307e-09       1.480311117039e+22       1.420669139224e+04       1.715096858548e-10       1.176785318615e+18       3.230655629413e-09       1.296328032822e+44       1.416066860730e+33       7.522044973155e+33      -4.994075994616e-12      6.596793127521e-171      -5.160100000000e+00       8.949929703194e+43       2.191321003231e+44       2.091190858499e-06       5.309502279863e+00 
       8.225737089444e+13       1.117125125353e-25       5.635229172185e-09       1.459802353772e+22       1.420669139224e+04       1.727102536558e-10       1.168605083034e+18       3.253270218819e-09       1.260657263558e+44       1.386740973707e+33       7.366267977603e+33      -4.994075994616e-12      7.196835339660e-171      -5.160100000000e+00       8.703656484313e+43       2.131022912077e+44       2.168642371777e-06       5.119877198439e+00 
       8.168557189121e+13       1.132819616239e-25       5.673427949660e-09       1.439577726295e+22       1.420669139224e+04       1.739192254314e-10       1.160481711057e+18       3.276043110350e-09       1.225968038894e+44       1.358022408043e+33       7.213717029280e+33      -4.994075994616e-12      7.851457201242e-171      -5.160100000000e+00       8.464159910651e+43       2.072384030045e+44       2.246093885054e-06       4.943329708838e+00 
