# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   24       9.657007785823e+02       9.948298363445e-03       1.851941905299e-04       1.580483682390e+00       1.453401924025e-07       1.598423837813e-03      -7.513799219785e-07 
   25       9.805084140010e+02       1.141317964347e-02       2.008180715846e-04       1.620955178346e+00       1.462101558137e-07       1.547724544047e-03      -2.515441710409e-07 
   26       9.957980426149e+02       1.310219689293e-02       2.170787857369e-04       1.667723477851e+00       1.469492921203e-07       1.501797133753e-03      -3.516391356040e-08 
   27       1.011437558631e+03       1.499506825961e-02       2.339761114449e-04       1.719492258172e+00       1.475862228049e-07       1.459817298465e-03      -9.690154582360e-08 
   28       1.027158863931e+03       1.708408809493e-02       2.515099652547e-04       1.773628120441e+00       1.480825912413e-07       1.419019412697e-03      -3.819608839211e-07 
   29       1.043028189127e+03       1.936476243451e-02       2.696806309350e-04       1.827118573536e+00       1.485159974744e-07       1.379658213703e-03      -8.274713586879e-07 
   30       1.059143559924e+03       2.183077272564e-02       2.884886283295e-04       1.876098888142e+00       1.489081512117e-07       1.342261271143e-03      -1.337079746144e-06 
   31       1.075526453933e+03       2.447305471495e-02       3.079347123875e-04       1.916310898991e+00       1.491742346196e-07       1.306561914464e-03      -1.789460321556e-06 
   32       1.092198409499e+03       2.728428038473e-02       3.280200314347e-04       1.945507452584e+00       1.493617905579e-07       1.272664599053e-03      -2.124396006015e-06 
   33       1.109113025328e+03       3.025570803182e-02       3.487460799706e-04       1.961905744017e+00       1.495009381189e-07       1.240128725650e-03      -2.297076691002e-06 
   34       1.126178164227e+03       3.338360303741e-02       3.701146579226e-04       1.964037029262e+00       1.495531797931e-07       1.207981906978e-03      -2.271664942779e-06 
   35       1.143441154404e+03       3.669614473447e-02       3.921277608018e-04       1.952410679463e+00       1.495523388644e-07       1.176546132341e-03      -2.074295418417e-06 
   36       1.160956151606e+03       4.023661442369e-02       4.147877000374e-04       1.928477972475e+00       1.495056579538e-07       1.146294153273e-03      -1.769922427617e-06 
   37       1.178737226470e+03       4.404757123703e-02       4.380970071052e-04       1.893914980389e+00       1.493717241028e-07       1.117418968120e-03      -1.438932604815e-06 
   38       1.196784755494e+03       4.813883172376e-02       4.620579096744e-04       1.849532873630e+00       1.491912718320e-07       1.090190664882e-03      -1.123856600305e-06 
   39       1.215058617737e+03       5.250903576956e-02       4.866727151136e-04       1.796043066250e+00       1.490022197223e-07       1.064637080031e-03      -8.617582260437e-07 
   40       1.233464545774e+03       5.715396129035e-02       5.119439696197e-04       1.734363682347e+00       1.487905089193e-07       1.040361038581e-03      -6.986114951205e-07 
   41       1.251897384596e+03       6.206844006155e-02       5.378742153486e-04       1.665240253857e+00       1.485062962794e-07       1.016739535944e-03      -6.758070038060e-07 
   42       1.270400161644e+03       6.725334034003e-02       5.644651314539e-04       1.587932063266e+00       1.481735568288e-07       9.938476987059e-04      -7.791976177623e-07 
   43       1.289048147576e+03       7.271051770016e-02       5.917181381216e-04       1.501117239105e+00       1.478192817164e-07       9.718411024027e-04      -9.671661550260e-07 
   44       1.307903146539e+03       7.844083844375e-02       6.196346269969e-04       1.403231245438e+00       1.474357528256e-07       9.506776076604e-04      -1.181032828795e-06 
   45       1.327008216464e+03       8.444496478819e-02       6.482157267874e-04       1.292720384097e+00       1.469935434013e-07       9.301966862347e-04      -1.357630264683e-06 
   46       1.346374231093e+03       9.072612206464e-02       6.774615239793e-04       1.168929274579e+00       1.465183608533e-07       9.104934480317e-04      -1.479214107425e-06 
   47       1.365986208568e+03       9.728806372844e-02       7.073716037528e-04       1.031452277289e+00       1.460401768664e-07       8.916458320793e-04      -1.541950246564e-06 
   48       1.385804459950e+03       1.041342948402e-01       7.379452449230e-04       8.798874588042e-01       1.455674229438e-07       8.735897895786e-04      -1.543232784832e-06 
   49       1.405762572147e+03       1.112680646126e-01       7.691814034527e-04       7.138365550354e-01       1.450804501204e-07       8.560953924825e-04      -1.481896099998e-06 
   50       1.425793521163e+03       1.186920175872e-01       8.010786773357e-04       5.330608647054e-01       1.445443067232e-07       8.388700201210e-04      -1.361005778942e-06 
   51       1.445921047674e+03       1.264070528358e-01       8.336352282587e-04       3.379989011585e-01       1.439739193763e-07       8.219791127407e-04      -1.197041855133e-06 
   52       1.466189597686e+03       1.344131422184e-01       8.668488101760e-04       1.293891876080e-01       1.433907384781e-07       8.055508932207e-04      -1.014782549135e-06 
   53       1.486637683166e+03       1.427096217286e-01       9.007167691289e-04      -9.186626458859e-02       1.428022165347e-07       7.896527903806e-04      -8.456602082073e-07 
   54       1.507297188749e+03       1.512951679760e-01       9.352360258818e-04      -3.246946548695e-01       1.421979640194e-07       7.742810089853e-04      -7.284172239202e-07 
   55       1.528191870577e+03       1.601682627627e-01       9.704034138900e-04      -5.681461849264e-01       1.415586812378e-07       7.593921122031e-04      -6.991812339324e-07 
   56       1.549334004369e+03       1.693287758417e-01       1.006216831301e-03      -8.223776257485e-01       1.408988047472e-07       7.450378474097e-04      -7.556843164322e-07 
   57       1.570725690306e+03       1.787767341561e-01       1.042674344720e-03      -1.087900301367e+00       1.402370741917e-07       7.312607129989e-04      -8.810703553005e-07 
   58       1.592358878955e+03       1.885118637907e-01       1.079773855510e-03      -1.365304737250e+00       1.395830129800e-07       7.180485971570e-04      -1.052865848048e-06 
   59       1.614214646499e+03       1.985335854706e-01       1.117513096271e-03      -1.655265090117e+00       1.389345618541e-07       7.053271755029e-04      -1.242431141984e-06 
   60       1.636262469977e+03       2.088410100599e-01       1.155889627319e-03      -1.958543577757e+00       1.382754963610e-07       6.929519878618e-04      -1.414391863299e-06 
   61       1.658472295763e+03       2.194325419534e-01       1.194901343667e-03      -2.275820756572e+00       1.375840638940e-07       6.807625386984e-04      -1.534992175779e-06 
   62       1.680855550170e+03       2.303045954032e-01       1.234548136895e-03      -2.607131815274e+00       1.368703773645e-07       6.687854947062e-04      -1.601858207440e-06 
   63       1.703432089898e+03       2.414525807595e-01       1.274830601755e-03      -2.952311036210e+00       1.361504996349e-07       6.570847550932e-04      -1.623141126975e-06 
   64       1.726217908541e+03       2.528712545450e-01       1.315749571018e-03      -3.311153708204e+00       1.354352185134e-07       6.457019151020e-04      -1.609650898042e-06 
   65       1.749224817745e+03       2.645547025134e-01       1.357306128150e-03      -3.683415030647e+00       1.347287410819e-07       6.346530590681e-04      -1.575095195304e-06 
   66       1.772460128353e+03       2.764963227063e-01       1.399501619990e-03      -4.068809017600e+00       1.340272782519e-07       6.239254256073e-04      -1.536326193457e-06 
   67       1.795926331568e+03       2.886888085108e-01       1.442337669429e-03      -4.467007401892e+00       1.333175160545e-07       6.134739449306e-04      -1.513595229241e-06 
   68       1.819623928113e+03       3.011247294084e-01       1.485816121398e-03      -4.877684692076e+00       1.325832228454e-07       6.032455499930e-04      -1.525841408254e-06 
   69       1.843561294143e+03       3.137984477368e-01       1.529938839793e-03      -5.300666394635e+00       1.318321823324e-07       5.932690828963e-04      -1.574271878772e-06 
   70       1.867746250822e+03       3.267045616630e-01       1.574707891987e-03      -5.735808994763e+00       1.310770290050e-07       5.835860804337e-04      -1.654293039687e-06 
   71       1.892182859129e+03       3.398373402298e-01       1.620125622655e-03      -6.182956543839e+00       1.303272427531e-07       5.742234749837e-04      -1.759954740176e-06 
   72       1.916871181523e+03       3.531907216996e-01       1.666194664745e-03      -6.641940743895e+00       1.295884196039e-07       5.651917583343e-04      -1.883840379527e-06 
   73       1.941807043604e+03       3.667583118987e-01       1.712917950451e-03      -7.112581032102e+00       1.288614867578e-07       5.564830801437e-04      -2.016953737127e-06 
   74       1.966981795786e+03       3.805333825602e-01       1.760298722185e-03      -7.594684665244e+00       1.281418603211e-07       5.480692810356e-04      -2.148602532634e-06 
   75       1.992382074952e+03       3.945088696688e-01       1.808340543548e-03      -8.088046804194e+00       1.274185441245e-07       5.398998603297e-04      -2.266278716306e-06 
   76       2.017995034230e+03       4.086766660160e-01       1.857046684242e-03      -8.592441281056e+00       1.266790015580e-07       5.319208589099e-04      -2.358449660011e-06 
   77       2.043825660127e+03       4.230253535937e-01       1.906418121044e-03      -9.107590770091e+00       1.259281208898e-07       5.241423065520e-04      -2.424100711862e-06 
   78       2.069882194922e+03       4.375420527622e-01       1.956455190541e-03      -9.633191305518e+00       1.251743135578e-07       5.165853108950e-04      -2.465565906137e-06 
   79       2.096170824545e+03       4.522130754850e-01       2.007158181017e-03      -1.016892101144e+01       1.244238701114e-07       5.092617106009e-04      -2.485887615210e-06 
