[ 0.  0.  0.]
[  196.          5551.14697266   551.434021  ]
[  197.          5601.36279297   551.46002197]
[  198.          5645.34179688   551.4130249 ]
[  199.          5319.97509766   551.31298828]
[  200.          5223.44384766   551.16900635]
[  201.          4897.98876953   550.96099854]
[  202.          6125.77978516   550.71398926]
[  203.          5680.52685547   550.39202881]
[  204.          5325.45507812   550.03302002]
[  205.          6146.30322266   549.61901855]
[  206.          5328.54003906   549.15197754]
[  207.          5038.36621094   548.62902832]
[  208.          5723.13818359   548.06097412]
[  209.          4618.91308594   547.440979  ]
[  210.          5414.30175781   546.77398682]
[  211.          5499.70703125   546.0380249 ]
[  212.          5867.28613281   545.26202393]
[  213.          5880.06494141   544.4329834 ]
[  214.          5260.75488281   543.55700684]
[  215.          6633.60595703   542.61499023]
[  216.          5778.80322266   541.62902832]
[  217.          5611.98388672   540.59100342]
[  218.          6248.98291016   539.50701904]
[  219.          5666.53417969   538.36700439]
[  220.          6346.04980469   537.17498779]
[  221.          5885.73681641   535.93701172]
[  222.          5753.10498047   534.64501953]
[  223.          5555.90185547   533.31402588]
[  224.          6096.06298828   531.92297363]
[  225.          5104.30322266   530.49700928]
[  226.          5936.6640625    529.01000977]
[  227.          6143.50195312   527.49200439]
[  228.          4730.30517578   525.91101074]
[  229.          5349.85498047   524.30102539]
[  230.          5653.92675781   522.63098145]
[  231.          5764.31298828   520.92498779]
[  232.          6645.2578125    519.16699219]
[  233.          6407.00878906   517.36602783]
[  234.          4523.51611328   515.52197266]
[  235.          6014.61816406   513.63702393]
[  236.          6074.84619141   511.70999146]
[  237.          5551.84277344   509.73001099]
[  238.          5922.61083984   507.71600342]
[  239.          5497.45898438   505.66101074]
[  240.          6048.94384766   503.56500244]
[  241.          5846.27685547   501.42999268]
[  242.          5397.50195312   499.25299072]
[  243.          5682.93603516   497.04299927]
[  244.          5187.02001953   494.79098511]
[  245.          5808.62109375   492.50299072]
[  246.          5729.26806641   490.18399048]
[  247.          5620.16308594   487.82000732]
[  248.          6011.11914062   485.42599487]
[  249.          4456.11279297   482.99700928]
[  250.          5083.23681641   480.52801514]
[  251.          5270.70800781   478.03601074]
[  252.          5699.76416016   475.5       ]
[  253.          4870.75292969   472.94000244]
[  254.          4409.23779297   470.3420105 ]
[  255.          5507.97802734   467.7170105 ]
[  256.          6079.18603516   465.06500244]
[  257.          5254.67480469   462.38101196]
[  258.          5422.96289062   459.67001343]
[  259.          4555.92822266   456.93099976]
[  260.          5700.21484375   454.16900635]
[  261.          5234.51318359   451.38198853]
[  262.          5509.53417969   448.56698608]
[  263.          6088.04394531   445.72799683]
[  264.          4814.19091797   442.86700439]
[  265.          4152.56201172   439.98599243]
[  266.          5567.86523438   437.07501221]
[  267.          5072.89111328   434.14898682]
[  268.          5564.03076172   431.20098877]
[  269.          4783.51416016   428.23300171]
[  270.          4256.17089844   425.24899292]
[  271.          5566.20996094   422.24301147]
[  272.          5839.83789062   419.22399902]
[  273.          4864.32080078   416.18499756]
[  274.          5329.00390625   413.13500977]
[  275.          4649.96777344   410.06900024]
[  276.          4009.70605469   406.98901367]
[  277.          5559.62695312   403.89599609]
[  278.          4992.96289062   400.79400635]
[  279.          5087.99609375   397.67599487]
[  280.          4343.21191406   394.54998779]
[  281.          4697.71777344   391.41299438]
[  282.          4983.01123047   388.26998901]
[  283.          5518.38378906   385.11700439]
[  284.          4432.38476562   381.95599365]
[  285.          3725.67504883   378.78799438]
[  286.          4601.75976562   375.61700439]
[  287.          4446.37890625   372.44100952]
[  288.          4170.45605469   369.26000977]
[  289.          4961.12011719   366.07400513]
[  290.          4570.17285156   362.88699341]
[  291.          3527.25610352   359.69799805]
[  292.          4674.13378906   356.50698853]
[  293.          4500.45410156   353.31698608]
[  294.          4108.5          350.12399292]
[  295.          4482.85107422   346.93399048]
[  296.          4707.32177734   343.74499512]
[  297.          3822.55493164   340.56100464]
[  298.          4036.05688477   337.37701416]
[  299.          3964.40307617   334.19699097]
[  300.          4547.99804688   331.02301025]
[  301.          3850.10107422   327.85501099]
[  302.          4037.63891602   324.69100952]
[  303.          3234.48901367   321.53399658]
[  304.          3892.41894531   318.38400269]
[  305.          4201.51904297   315.24398804]
[  306.          3619.06298828   312.10998535]
[  307.          3462.74707031   308.98800659]
[  308.          4196.76513672   305.87298584]
[  309.          3835.90698242   302.77099609]
[  310.          3625.84790039   299.68200684]
[  311.          3817.56689453   296.60299683]
[  312.          3463.0769043    293.53500366]
[  313.          3683.68994141   290.48199463]
[  314.          3053.90600586   287.44299316]
[  315.          3743.11791992   284.42001343]
[  316.          3964.53588867   281.41000366]
[  317.          3048.25805664   278.41699219]
[  318.          3139.08911133   275.44198608]
[  319.          3691.99389648   272.48300171]
[  320.          3690.75097656   269.54299927]
[  321.          3088.82788086   266.61999512]
[  322.          3663.38208008   263.7170105 ]
[  323.          3292.04589844   260.83300781]
[  324.          3117.37011719   257.97000122]
[  325.          3366.33691406   255.1269989 ]
[  326.          3671.34204102   252.30400085]
