# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       8.111774765760e+13       1.148734599028e-25       5.713445716538e-09       1.419633298090e+22       1.420449951063e+04       1.751096390224e-10       1.152237006906e+18       3.298975412123e-09       1.192233349885e+44       1.333937040634e+33       7.048884170464e+33      -4.903676059780e-12      1.467949370130e-103      -3.428800000000e+00       8.231253510774e+43       2.015358701047e+44       2.333281430095e-06       4.778552051877e+00 
       8.055387056366e+13       1.164873171410e-25       5.753463483416e-09       1.399965187176e+22       1.420449951063e+04       1.763354064956e-10       1.144227415001e+18       3.322068240007e-09       1.159426930788e+44       1.306312012441e+33       6.902906048558e+33      -4.903676059780e-12      1.544489681440e-103      -3.428800000000e+00       8.004755944341e+43       1.959902525304e+44       2.411057477764e-06       4.624405211493e+00 
       7.999391317146e+13       1.181238474595e-25       5.793481250294e-09       1.380569565352e+22       1.420449951063e+04       1.775697543410e-10       1.136273500498e+18       3.345322717687e-09       1.127523238606e+44       1.279259081852e+33       6.759951045143e+33      -4.903676059780e-12      1.625020879203e-103      -3.428800000000e+00       7.784490860910e+43       1.905972324777e+44       2.488833525434e-06       4.479892548634e+00 
       7.943784823382e+13       1.197833693924e-25       5.835318006575e-09       1.361442657458e+22       1.420449951063e+04       1.788127426214e-10       1.128374876363e+18       3.368739976711e-09       1.096497433204e+44       1.252766401069e+33       6.619956553266e+33      -4.903676059780e-12      1.709751052130e-103      -3.428800000000e+00       7.570286762638e+43       1.853526109546e+44       2.566609573104e-06       4.344138228979e+00 
       7.888564869297e+13       1.214662059490e-25       5.875335773453e-09       1.342580740633e+22       1.420449951063e+04       1.800644318198e-10       1.120531158255e+18       3.392321156548e-09       1.066325357967e+44       1.226822367660e+33       6.482861262526e+33      -4.903676059780e-12      1.798899138880e-103      -3.428800000000e+00       7.361976870749e+43       1.802523045119e+44       2.644385620774e-06       4.216369457538e+00 
       7.833728767921e+13       1.231726846764e-25       5.917172529735e-09       1.323980143596e+22       1.420449951063e+04       1.813248828425e-10       1.112741964504e+18       3.416067404643e-09       1.036983520993e+44       1.201415619470e+33       6.348605132224e+33      -4.903676059780e-12      1.892695493786e-103      -3.428800000000e+00       7.159398995680e+43       1.752923420636e+44       2.722161668443e-06       4.095901758751e+00 
       7.779273850965e+13       1.249031377234e-25       5.959009286016e-09       1.305637245928e+22       1.420449951063e+04       1.825941570224e-10       1.105006916091e+18       3.439979876476e-09       1.008449076800e+44       1.176535029646e+33       6.217129365065e+33      -4.903676059780e-12      1.991382482082e-103      -3.428800000000e+00       6.962395410803e+43       1.704688617955e+44       2.799937716113e-06       3.982126709897e+00 
       7.725197468684e+13       1.266579019053e-25       5.999027052894e-09       1.287548477370e+22       1.420449951063e+04       1.838723161216e-10       1.097325636635e+18       3.464059735611e-09       9.806998085426e+43       1.152169701769e+33       6.088376381414e+33      -4.903676059780e-12      2.095215106161e-103      -3.428800000000e+00       6.770812729620e+43       1.657781081577e+44       2.877713763783e-06       3.874501663683e+00 
       7.671496989756e+13       1.284373187691e-25       6.042682798579e-09       1.269710317125e+22       1.420449951063e+04       1.851594223344e-10       1.089697752368e+18       3.488308153760e-09       9.537141107086e+43       1.128308965074e+33       5.962289794074e+33      -4.903676059780e-12      2.204461664490e-103      -3.428800000000e+00       6.584501786331e+43       1.612164289413e+44       2.955489811452e-06       3.772541093587e+00 
       7.618169801148e+13       1.302417346605e-25       6.084519554861e-09       1.252119293175e+22       1.420449951063e+04       1.864555382908e-10       1.082122892123e+18       3.512726310836e-09       9.274709723012e+43       1.104942369785e+33       5.838814383591e+33      -4.903676059780e-12      2.319404444877e-103      -3.428800000000e+00       6.403317519703e+43       1.567802724341e+44       3.033265859122e-06       3.675809270674e+00 
       7.565213307992e+13       1.320715007907e-25       6.126356311142e-09       1.234771981606e+22       1.420449951063e+04       1.877607270588e-10       1.074600687312e+18       3.537315395012e-09       9.019499604785e+43       1.082059682532e+33       5.717896074074e+33      -4.903676059780e-12      2.440340453895e-103      -3.428800000000e+00       6.227118860116e+43       1.524661846558e+44       3.111041906792e-06       3.583914038907e+00 
       7.512624933457e+13       1.339269733053e-25       6.170012056828e-09       1.217665005937e+22       1.420449951063e+04       1.890750521482e-10       1.067130771909e+18       3.562076602777e-09       8.771312046443e+43       1.059650881873e+33       5.599481909511e+33      -4.903676059780e-12      2.567582184328e-103      -3.428800000000e+00       6.055768619735e+43       1.482708066684e+44       3.188817954462e-06       3.496501501373e+00 
