# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.111618318991e+03       5.453917864419e-02       0.000000000000e+00       3.537630044197e+00       5.244747449697e-08       3.354840844372e-03      -1.672623092014e-05 
    3       1.041783287686e+03       9.138864202224e-02       0.000000000000e+00       4.490832121036e+00       6.534916784124e-08       3.343818870425e-03      -2.074016477966e-05 
    4       9.758360067071e+02       1.055162068305e-01       0.000000000000e+00       4.645431521858e+00       7.599578556718e-08       3.257039587556e-03      -2.126215617252e-05 
    5       9.249002312334e+02       9.641015442404e-02       0.000000000000e+00       4.334427395656e+00       8.518855525059e-08       3.145187556342e-03      -1.920708258141e-05 
    6       8.881031487983e+02       7.340483396543e-02       0.000000000000e+00       3.792139765966e+00       9.316735902947e-08       3.025057581438e-03      -1.538782464237e-05 
    7       8.629418293653e+02       4.797305455351e-02       0.000000000000e+00       3.176346354517e+00       1.002277744767e-07       2.903740288382e-03      -1.065235462867e-05 
    8       8.462365018110e+02       2.803254191134e-02       0.000000000000e+00       2.582300473430e+00       1.065734987144e-07       2.784058563653e-03      -5.790642170824e-06 
    9       8.364512064634e+02       1.622233884421e-02       0.000000000000e+00       2.064745076820e+00       1.122803012348e-07       2.668298518437e-03      -1.462037546819e-06 
   10       8.319874324152e+02       1.112432439603e-02       0.000000000000e+00       1.652327647320e+00       1.173875288526e-07       2.558584843611e-03       1.866395769760e-06 
   11       8.313495090042e+02       9.680347570024e-03       0.000000000000e+00       1.356264541246e+00       1.186889794037e-07       2.462152975376e-03       3.925357860544e-06 
   12       8.340989232826e+02       9.247510076396e-03       0.000000000000e+00       1.172256413085e+00       1.226069414768e-07       2.364360729561e-03       4.743806926233e-06 
   13       8.390777719614e+02       8.528098004874e-03       0.000000000000e+00       1.084979156794e+00       1.261192029071e-07       2.272381455099e-03       4.444689004694e-06 
   14       8.457690590781e+02       7.437937238967e-03       0.000000000000e+00       1.073348853809e+00       1.292685053252e-07       2.185076826364e-03       3.305658955722e-06 
   15       8.541469464882e+02       6.449428816651e-03       0.000000000000e+00       1.113352035632e+00       1.320945268548e-07       2.106787888266e-03       1.678814850512e-06 
   16       8.637311277918e+02       5.969587431918e-03       0.000000000000e+00       1.182526203339e+00       1.346307502641e-07       2.035739202354e-03      -8.737520897485e-08 
   17       8.743089016546e+02       6.057302314596e-03       0.000000000000e+00       1.262887712323e+00       1.369051831277e-07       1.967427630828e-03      -1.692482445441e-06 
   18       8.857402743558e+02       6.467173444761e-03       0.000000000000e+00       1.340165544415e+00       1.388882569519e-07       1.901590669132e-03      -2.905040149535e-06 
   19       8.980242213777e+02       6.971716362903e-03       0.000000000000e+00       1.408206365327e+00       1.407621407237e-07       1.839649918836e-03      -3.604273409984e-06 
   20       9.107950725419e+02       7.362191541757e-03       0.000000000000e+00       1.463387036316e+00       1.423775903737e-07       1.778672359974e-03      -3.766407526980e-06 
   21       9.241252600112e+02       7.694274819288e-03       0.000000000000e+00       1.506620078518e+00       1.438287426796e-07       1.720905115433e-03      -3.448555813352e-06 
   22       9.379849239627e+02       8.131690269297e-03       0.000000000000e+00       1.541233987097e+00       1.450887892916e-07       1.668008720473e-03      -2.803574232509e-06 
   23       9.523270002294e+02       8.807898630989e-03       0.000000000000e+00       1.571472052580e+00       1.462330676237e-07       1.619215940466e-03      -1.983094420845e-06 
   24       9.669422250534e+02       9.834448372198e-03       0.000000000000e+00       1.602244507423e+00       1.472095575116e-07       1.570910967809e-03      -1.174008460776e-06 
   25       9.818224331433e+02       1.119597599591e-02       0.000000000000e+00       1.636659598812e+00       1.480769967613e-07       1.522877890945e-03      -5.108483552334e-07 
   26       9.969236697858e+02       1.282680971111e-02       0.000000000000e+00       1.676924851558e+00       1.488124256973e-07       1.475365963958e-03      -1.068794737459e-07 
   27       1.012310232822e+03       1.468703925058e-02       0.000000000000e+00       1.722905740719e+00       1.494450445300e-07       1.430622963572e-03       1.113552539221e-08 
   28       1.028001746028e+03       1.674291138453e-02       0.000000000000e+00       1.773110241060e+00       1.499361068622e-07       1.390728451706e-03      -1.326951837151e-07 
   29       1.044031053666e+03       1.899131052082e-02       0.000000000000e+00       1.824790909083e+00       1.503642573846e-07       1.355574165607e-03      -4.930965015108e-07 
   30       1.060334074386e+03       2.143731919977e-02       0.000000000000e+00       1.874008863485e+00       1.507512668715e-07       1.322766687678e-03      -9.866814740730e-07 
   31       1.076771759795e+03       2.408164493127e-02       0.000000000000e+00       1.916309383313e+00       1.510107805246e-07       1.288789909324e-03      -1.499932457192e-06 
   32       1.093388478229e+03       2.690930454828e-02       0.000000000000e+00       1.949117851244e+00       1.511910133905e-07       1.254144090838e-03      -1.958739562695e-06 
   33       1.110231529775e+03       2.989601823576e-02       0.000000000000e+00       1.970177496712e+00       1.513227032697e-07       1.220540949044e-03      -2.288278184248e-06 
   34       1.127293017427e+03       3.302205466944e-02       0.000000000000e+00       1.977404663524e+00       1.513670549060e-07       1.189350992979e-03      -2.415001408817e-06 
   35       1.144572344118e+03       3.631181553945e-02       0.000000000000e+00       1.970607735487e+00       1.513583676256e-07       1.160621009797e-03      -2.344022380440e-06 
   36       1.162022211025e+03       3.980872445596e-02       0.000000000000e+00       1.950396518918e+00       1.513038753575e-07       1.133380321523e-03      -2.121843636351e-06 
   37       1.179568505492e+03       4.355689450741e-02       0.000000000000e+00       1.917686797653e+00       1.511614505662e-07       1.106263996577e-03      -1.811590883677e-06 
   38       1.197260358816e+03       4.757176121388e-02       0.000000000000e+00       1.873457351329e+00       1.509723474615e-07       1.079487587759e-03      -1.457699220916e-06 
   39       1.215161300492e+03       5.186004072961e-02       0.000000000000e+00       1.818953362423e+00       1.507750087561e-07       1.053634671175e-03      -1.109194501074e-06 
   40       1.233304436051e+03       5.642749053233e-02       0.000000000000e+00       1.755779436969e+00       1.505552040524e-07       1.029112603290e-03      -8.307349819070e-07 
