# Matter power spectrum P(k) at redshift z=0
# for k=1.03225e-05 to 1.07492 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.032250900295e-05       5.197241151388e+01 
       2.306801538108e-05       1.133453654806e+02 
       3.585736221897e-05       1.738382318674e+02 
       4.872423871062e-05       2.340159112407e+02 
       6.170287931744e-05       2.942095836520e+02 
       7.482836266540e-05       3.546733315513e+02 
       8.813691980306e-05       4.156282379267e+02 
       1.016662558416e-04       4.772805734691e+02 
       1.154558890291e-04       5.398311973544e+02 
       1.295475113434e-04       6.034813995676e+02 
       1.439853746996e-04       6.684369987288e+02 
       1.588167068167e-04       7.349116402170e+02 
       1.740921606435e-04       8.031296743194e+02 
       1.898663009167e-04       8.733288638335e+02 
       2.061981308627e-04       9.457629434360e+02 
       2.231516611082e-04       1.020704369702e+03 
       2.407965214174e-04       1.098446983496e+03 
       2.592086137104e-04       1.179308847588e+03 
       2.784708017111e-04       1.263635050402e+03 
       2.986736282314e-04       1.351800617545e+03 
       3.199160451801e-04       1.444213369547e+03 
       3.423061335313e-04       1.541316537551e+03 
       3.659617803460e-04       1.643591137405e+03 
       3.910112672467e-04       1.751557693628e+03 
       4.175937094581e-04       1.865777133417e+03 
       4.458592670023e-04       1.986850380608e+03 
       4.759690309117e-04       2.115416172119e+03 
       5.080944694147e-04       2.252146676249e+03 
       5.424163053143e-04       2.397740105851e+03 
       5.791226911247e-04       2.552909948574e+03 
       6.184065593320e-04       2.718370253305e+03 
       6.604620586026e-04       2.894816839131e+03 
       7.054800493347e-04       3.082904418291e+03 
       7.536427268290e-04       3.283220370350e+03 
       8.051175641565e-04       3.496256465182e+03 
       8.600509064993e-04       3.722380353282e+03 
       9.185616804683e-04       3.961809290384e+03 
       9.807357736170e-04       4.214588656569e+03 
       1.046621658337e-03       4.480578065637e+03 
       1.116227758435e-03       4.759446716475e+03 
       1.189521885379e-03       5.050679433634e+03 
       1.266432830678e-03       5.353592217893e+03 
       1.346853939089e-03       5.667346185228e+03 
       1.430648260007e-03       5.990976339638e+03 
       1.517654726710e-03       6.323490418085e+03 
       1.607694766326e-03       6.663818553573e+03 
       1.700578791348e-03       7.010874464372e+03 
       1.796112139015e-03       7.363582330739e+03 
       1.894100172149e-03       7.720898279851e+03 
       1.994352401015e-03       8.081827114283e+03 
       2.096685607992e-03       8.445434207568e+03 
       2.200926044433e-03       8.810852539974e+03 
       2.306910821625e-03       9.177286926828e+03 
       2.414488640519e-03       9.544014226416e+03 
       2.523520006171e-03       9.910381564751e+03 
       2.633877060503e-03       1.027580464637e+04 
       2.745443147760e-03       1.063976274429e+04 
       2.858112205604e-03       1.100179228169e+04 
       2.971788054154e-03       1.136148912406e+04 
       3.086383637000e-03       1.171849290824e+04 
       3.201820253058e-03       1.207249309285e+04 
       3.318026805941e-03       1.242321565005e+04 
       3.434939088227e-03       1.277042480193e+04 
       3.552499111015e-03       1.311391419698e+04 
       3.670654484139e-03       1.345351169765e+04 
       3.789357848884e-03       1.378906235850e+04 
       3.908566362640e-03       1.412043856285e+04 
       4.028241233424e-03       1.444753324370e+04 
       4.148347301246e-03       1.477025149215e+04 
       4.268852662827e-03       1.508852258265e+04 
       4.389728335954e-03       1.540227937947e+04 
       4.510947959800e-03       1.571147658250e+04 
       4.632487527642e-03       1.601607565368e+04 
       4.754325148619e-03       1.631604593915e+04 
       4.876440835450e-03       1.661137196308e+04 
       4.998816315258e-03       1.690203811152e+04 
       5.121434860964e-03       1.718804366808e+04 
       5.244281140910e-03       1.746938820334e+04 
       5.367341084687e-03       1.774607355958e+04 
       5.490601763311e-03       1.801812179970e+04 
       5.614051282118e-03       1.828553868729e+04 
       5.737678684942e-03       1.854834834411e+04 
       5.861473868304e-03       1.880658175390e+04 
       5.985427504463e-03       1.906025912361e+04 
       6.109530972357e-03       1.930940327439e+04 
       6.233776295541e-03       1.955403947280e+04 
       6.358156086347e-03       1.979420172162e+04 
       6.482663495592e-03       2.002989876698e+04 
       6.607292167219e-03       2.026121199901e+04 
       6.732036197332e-03       2.048815623677e+04 
       6.856890097179e-03       2.071076745199e+04 
       6.981848759628e-03       2.092910646566e+04 
       7.106907428805e-03       2.114316670558e+04 
       7.232061672533e-03       2.135299768788e+04 
       7.357307357307e-03       2.155862678185e+04 
       7.482640625534e-03       2.176014635308e+04 
       7.608057874807e-03       2.195755638933e+04 
       7.733555739024e-03       2.215090375243e+04 
       7.859131071154e-03       2.234024341620e+04 
       7.984780927495e-03       2.252561952122e+04 
